"problem","title","boj_code_file","tag_code_file","study_group","reason","official_tags","original_code_file"
"2422","한윤정이 이탈리아에 가서 아이스크림을 사먹는데","2422_bruteforce.cpp","2422.cpp","05_SEARCH/bruteforce","official:bruteforcing","bruteforcing","2422.cpp"
"2435","기상청 인턴 신현수","2435_prefix_sum.cpp","2435.cpp","08_TECHNIQUE/prefix_sum","official:prefix_sum","implementation;bruteforcing;prefix_sum","2435.cpp"
"2441","별 찍기 - 4","2441_implementation.cpp","2441.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2441.cpp"
"2442","별 찍기 - 5","2442_implementation.cpp","2442.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2442.cpp"
"2443","별 찍기 - 6","2443_implementation.cpp","2443.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2443.cpp"
"2455","지능형 기차","2455_math.cpp","2455.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2455.cpp"
"2458","키 순서","2458_floyd_warshall.cpp","2458.cpp","02_GRAPH/floyd_warshall","official:floyd_warshall","graphs;graph_traversal;shortest_path;dfs;floyd_warshall","2458.cpp"
"2460","지능형 기차 2","2460_math.cpp","2460.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2460.cpp"
"2468","안전 영역","2468_dfs.cpp","2468.cpp","02_GRAPH/dfs","filename:dfs","graphs;bruteforcing;graph_traversal;bfs;dfs;grid_graph","2468_dfs.cpp"
"2475","검증수","2475_math.cpp","2475.cpp","07_MATH/math","official:arithmetic","implementation;arithmetic;math","2475.cpp"
"2476","주사위 게임","2476_math.cpp","2476.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2476.cpp"
"2490","윷놀이","2490_implementation.cpp","2490.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2490.cpp"
"2493","탑","2493_stack.cpp","2493.cpp","03_DATA_STRUCTURE/stack","filename:stack","data_structures;stack","2493_stack.cpp"
"2506","점수계산","2506_math.cpp","2506.cpp","07_MATH/math","official:arithmetic","math;implementation;arithmetic","2506.cpp"
"2517","달리기","2517_inversion_counting.cpp","2517.cpp","08_TECHNIQUE/inversion_counting","filename:counting_inverse","data_structures;segtree;coordinate_compression","2517_counting_inverse.cpp"
"2522","별 찍기 - 12","2522_implementation.cpp","2522.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2522.cpp"
"2523","별 찍기 - 13","2523_implementation.cpp","2523.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2523.cpp"
"2530","인공지능 시계","2530_math.cpp","2530.cpp","07_MATH/math","official:arithmetic","math;arithmetic","2530.cpp"
"2535","아시아 정보올림피아드","2535_sorting.cpp","2535.cpp","08_TECHNIQUE/sorting","official:sorting","implementation;sorting","2535.cpp"
"2553","마지막 팩토리얼 수","2553_number_theory.cpp","2553.cpp","07_MATH/number_theory","official:number_theory","math;number_theory","2553.cpp"
"2562","최댓값","2562_implementation.cpp","2562.cpp","10_IMPLEMENTATION/implementation","filename:pair","implementation","2562_pair.cpp"
"2565","전깃줄","2565_lis.cpp","2565.cpp","01_DP/lis","code-audit:2565_NlogN.cpp","dp","2565_NlogN.cpp"
"2565","전깃줄","2565_lis_variant2.cpp","2565_variant2.cpp","01_DP/lis","filename:nn_lis","dp","2565_NN_LIS.cpp"
"2566","최댓값","2566_implementation.cpp","2566.cpp","10_IMPLEMENTATION/implementation","official:implementation","implementation","2566.cpp"
"2568","전깃줄 - 2","2568_lis.cpp","2568.cpp","01_DP/lis","filename:nlogn_lis","traceback;lis","!2568_NlogN_LIS.cpp"
"2576","홀수","2576_math.cpp","2576.cpp","07_MATH/math","official:math","math;implementation","2576.cpp"
"2579","계단 오르기","2579_dp.cpp","2579.cpp","01_DP/dp","code+official:dp","dp","2579.cpp"
"2586","소방차","2586_dp.cpp","2586.cpp","01_DP/dp","official:dp","dp;greedy","2586.cpp"
"2589","보물섬","2589_bfs.cpp","2589.cpp","02_GRAPH/bfs","code+official:bfs","graphs;bruteforcing;graph_traversal;bfs","2589.cpp"
"2606","바이러스","2606_dfs.cpp","2606.cpp","02_GRAPH/dfs","code+official:dfs","graphs;graph_traversal;bfs;dfs","2606.cpp"
"2630","색종이 만들기","2630_divide_and_conquer.cpp","2630.cpp","09_PARADIGM/divide_and_conquer","official:divide_and_conquer","divide_and_conquer;recursion","2630.cpp"
"2644","촌수계산","2644_tree.cpp","2644.cpp","02_GRAPH/tree","filename:tree","graphs;graph_traversal;bfs;dfs","!edge2644_tree.cpp"
"2667","단지번호붙이기","2667_dfs.cpp","2667.cpp","02_GRAPH/dfs","filename:dfs","graphs;graph_traversal;bfs;dfs;grid_graph;flood_fill","2667_dfs.cpp"
